Invoice/Item Number,Date,Store Number,Store Name,Address,City,Zip Code,Store Location,County Number,County,Category,Category Name,Vendor Number,Vendor Name,Item Number,Item Description,Pack,Bottle Volume (ml),State Bottle Cost,State Bottle Retail,Bottles Sold,Sale (Dollars),Volume Sold (Liters),Volume Sold (Gallons)
INV-03332400016,02/17/2017,3857,Quillins Food Ranch / Waukon,9th St SW B,Waukon,52172,,3,ALLAMAKEE,1082200,Imported Schnapps,421,SAZERAC COMPANY  INC,69637,Dr. Mcgillicuddy's Cherry Schnapps,12,1000,11.00,16.50,12,198.00,12.00,3.17
INV-03347700013,02/20/2017,3934,Wal-Mart 1509 / Maquoketa,103 E Carlisle,Maquoketa,52060,POINT (-90.66292 42.04869),49,JACKSON,1031100,American Vodkas,434,LUXCO INC,36306,Hawkeye Vodka,12,750,3.34,5.01,12,60.12,9.00,2.38
INV-03271800009,02/14/2017,4642,Liquor and Tobacco Outlet / Univ Ave Waterloo,2844 University Ave,Waterloo,50701,POINT (-92.382928 42.498321),7,BLACK HAWK,1031200,American Flavored Vodka,380,Phillips Beverage,41783,Uv Blue Raspberry Vodka Mini,6,500,4.89,7.34,6,44.04,3.00,0.79
INV-03351500011,02/20/2017,5364,Station Mart,3594 Lafayette Road,Evansdale,50707,POINT (-92.287994 42.47724500000001),7,BLACK HAWK,1062400,Spiced Rum,260,DIAGEO AMERICAS,43337,Captain Morgan Spiced Rum,12,1000,11.75,17.63,12,211.56,12.00,3.17
INV-03288100067,02/15/2017,2536,HY-VEE / PLEASANT HILL,4815 Maple Drive,Pleasant Hill,50317,POINT (-93.519187 41.598109),77,Polk,1062400,Spiced Rum,259,Heaven Hill Brands,43024,Admiral Nelson Spiced Rum,24,375,2.74,4.11,24,98.64,9.00,2.38
INV-03348100032,02/20/2017,4180,Smokin' Joe's #10 Tobacco and Liquor Outlet,480 7th Ave,Marion,52302,POINT (-91.605094 42.033366),57,LINN,1031100,American Vodkas,300,McCormick Distilling Co.,36908,Mccormick Vodka Pet,6,1750,7.47,11.21,6,67.26,10.50,2.77
INV-03299300039,02/15/2017,2568,Hy-Vee Food Store #4 / Cedar Rapids,1556 First Avenue NE,Cedar Rapids,52402,POINT (-91.650755 41.988967),57,LINN,1062100,Gold Rum,035,BACARDI USA INC,43036,Bacardi Gold Rum,12,750,8.26,12.39,3,37.17,2.25,0.59
INV-03306700005,02/16/2017,4083,Fareway Stores #909 / Ankeny,109 SE Oralabor Rd,Ankeny,50021,POINT (-93.59949600000002 41.702811),77,POLK,1032100,Imported Vodkas,115,CONSTELLATION BRANDS INC,34820,Svedka Vodka,12,750,8.25,12.38,12,148.56,9.00,2.38
INV-03267300135,02/14/2017,2552,Hy-Vee Food Store #3 / Cedar Rapids,20 Wilson Avenue West,Cedar Rapids,52404,POINT (-91.658577 41.955859),57,LINN,1012100,Canadian Whiskies,260,DIAGEO AMERICAS,10828,Crown Royal Northern Harvest Rye,12,750,15.59,23.39,2,52.50,1.50,0.40
INV-03374200002,02/21/2017,4829,Central City 2,1501 Michigan Ave,Des Moines,50314,POINT (-93.613739 41.60572),77,POLK,1011300,Single Barrel Bourbon Whiskies,421,SAZERAC COMPANY  INC,17766,Eagle Rare,6,750,17.16,25.74,6,154.44,4.50,1.19
