,county,land_area,population,under_5,5_to_9,10_to_14,15_to_19,20_to_24,25_to_29,30_to_34,35_to_39,40_to_44,45_to_49,50_to_54,55_to_59,60_to_64,65_to_69,70_to_74,75_to_79,80_to_84,over_84,median_age,male_median_age,female_median_age,pop_over_21,male_over_21,female_over_21,white,black,american_indian,asian,hawaiian_pacific_islander,other_race,multiple_races,latinx,head_of_household,has_child,average_HH_size,owned_housing,rented_housing
41,dallas,1524070766,66135,5772,5686,5239,3622,2954,5191,5322,5226,5134,4597,4247,3653,3016,2006,1521,1120,883,946,34.3,33.7,34.8,45401,21812,23589,60971,918,127,1662,39,1009,153,2494,14631,18282,2.6,53400,12219
42,palo alto,1460349241,9421,586,598,535,665,536,513,469,469,434,660,735,652,560,449,400,421,341,398,43.9,40.5,46.4,6912,3326,3586,9211,44,21,31,6,79,28,117,2073,1953,2.27,7046,2031
43,fremont,1323872918,7441,470,422,471,503,314,340,377,417,394,543,613,599,522,395,297,300,236,228,45.1,43.5,46.6,5520,2704,2816,7212,39,23,20,1,67,28,151,1670,1513,2.38,5563,1743
44,ringgold,1386933932,5131,332,354,362,296,223,240,244,228,249,338,382,332,342,285,241,219,205,259,45.6,43.4,47.3,3740,1776,1964,5004,17,14,16,0,38,11,70,1177,1146,2.42,3906,1046
45,butler,1502533262,14867,982,950,988,853,601,801,805,799,885,972,1156,1112,1019,778,605,551,459,551,43.8,42.4,44.9,10980,5352,5628,14636,26,21,35,2,111,34,94,3689,3279,2.39,12225,2400
46,montgomery,1098405666,10740,595,667,768,710,405,514,524,604,633,781,891,804,703,526,415,433,352,415,44.6,42.8,46.0,7915,3782,4133,10460,25,38,23,5,99,39,270,2291,2307,2.31,7760,2767
47,warren,1475844938,46225,2974,3307,3655,3530,2771,2449,2581,2997,3226,3600,3361,3017,2598,1887,1382,1167,820,903,38.3,37.1,39.2,32067,15315,16752,44887,216,109,250,11,562,120,653,10422,11298,2.58,36840,7643
48,decatur,1377566066,8457,532,510,522,764,859,410,376,419,412,535,559,562,464,396,350,320,238,229,38.2,35.7,40.5,5894,2879,3015,8068,152,33,59,16,88,38,91,1664,1768,2.42,5788,2006
49,webster,1853443769,38013,2248,2267,2359,2985,2784,2431,2065,1859,2131,2693,2909,2693,2252,1621,1361,1246,1072,1037,40.0,36.5,43.3,27386,13732,13654,35095,1462,112,246,9,681,104,1159,7196,7597,2.27,26352,9034
50,calhoun,1476209027,9670,550,583,551,574,401,431,452,446,518,652,810,809,601,538,492,435,378,449,47.8,46.3,49.0,7345,3502,3843,9526,22,19,21,1,60,14,66,2312,1942,2.22,7751,1681
